"CLIENTNUM","Attrition_Flag","Customer_Age","Gender","Dependent_count","Education_Level","Marital_Status","Income_Category","Card_Category","Months_on_book","Total_Relationship_Count","Months_Inactive_12_mon","Contacts_Count_12_mon","Credit_Limit","Total_Revolving_Bal","Avg_Open_To_Buy","Total_Amt_Chng_Q4_Q1","Total_Trans_Amt","Total_Trans_Ct","Total_Ct_Chng_Q4_Q1","Avg_Utilization_Ratio"
720563958,"Existing Customer",48,"F",3,"Post-Graduate","Married","Unknown","Blue",38,6,1,3,4025,0,4025,0.887,4445,92,0.673,0
786509358,"Existing Customer",44,"M",3,"Unknown","Married","$80K - $120K","Blue",38,3,1,4,4198,1782,2416,1.526,2051,36,1,0.424
714770808,"Existing Customer",59,"M",2,"High School","Married","Less than $40K","Blue",42,3,3,5,4328,670,3658,0.396,1580,54,0.543,0.155
718192608,"Existing Customer",48,"M",3,"Uneducated","Married","$60K - $80K","Blue",36,1,1,2,15524,1148,14376,0.829,13819,106,0.71,0.074
710163633,"Existing Customer",41,"F",4,"Graduate","Divorced","$40K - $60K","Blue",36,3,3,2,1919,867,1052,0.741,4996,92,0.704,0.452
711499158,"Existing Customer",47,"M",2,"Uneducated","Married","$80K - $120K","Silver",38,4,3,4,34516,733,33783,1.229,3018,60,0.538,0.021
711350133,"Existing Customer",51,"M",2,"Graduate","Married","$80K - $120K","Blue",34,5,4,1,13587,2374,11213,0.789,4995,88,0.692,0.175
708669408,"Existing Customer",54,"M",5,"College","Single","$60K - $80K","Blue",45,6,1,3,20401,0,20401,0.723,4637,75,0.562,0
779397183,"Existing Customer",42,"F",2,"Graduate","Single","Less than $40K","Blue",31,2,1,1,3659,0,3659,0.797,4068,61,0.694,0
766381908,"Existing Customer",49,"F",4,"High School","Married","Less than $40K","Blue",42,4,1,4,2473,1263,1210,0.71,4597,80,0.6,0.511
818993508,"Existing Customer",52,"F",3,"Graduate","Married","Less than $40K","Blue",47,4,4,2,2577,879,1698,0.74,5021,75,0.744,0.341
708765933,"Existing Customer",46,"M",2,"Post-Graduate","Married","$60K - $80K","Blue",36,3,2,2,5464,887,4577,0.554,4866,81,0.62,0.162
787596558,"Existing Customer",50,"M",1,"Uneducated","Married","$120K +","Blue",23,5,2,1,7116,981,6135,0.858,4748,85,0.735,0.138
797488158,"Existing Customer",52,"M",2,"High School","Married","$60K - $80K","Blue",46,5,3,0,14316,1081,13235,0.67,1313,36,0.636,0.076
715055433,"Existing Customer",36,"M",3,"Uneducated","Married","$60K - $80K","Blue",22,6,3,4,2224,1772,452,0.81,2004,44,0.419,0.797
712556433,"Existing Customer",52,"F",2,"Graduate","Married","$40K - $60K","Blue",43,1,2,3,4090,1649,2441,0.752,15497,92,0.673,0.403
713634108,"Existing Customer",45,"F",3,"Graduate","Single","Unknown","Blue",36,1,2,2,4348,1830,2518,1.036,4293,66,0.692,0.421
712171158,"Existing Customer",42,"F",2,"High School","Married","Less than $40K","Blue",30,6,1,1,3124,0,3124,0.879,4986,79,0.795,0
721221783,"Existing Customer",62,"M",2,"Graduate","Single","Less than $40K","Blue",48,6,3,2,5844,2013,3831,0.478,3546,65,0.548,0.344
709722858,"Existing Customer",50,"M",1,"Graduate","Married","$60K - $80K","Blue",37,2,2,2,20708,1357,19351,0.852,8503,88,0.571,0.066
720294258,"Existing Customer",40,"F",4,"Graduate","Single","Less than $40K","Blue",30,4,2,2,2558,0,2558,0.728,4635,82,0.64,0
711076533,"Existing Customer",65,"M",0,"College","Divorced","Less than $40K","Blue",42,5,3,2,9706,1968,7738,1.022,3435,58,0.706,0.203
789172683,"Existing Customer",56,"M",2,"Doctorate","Married","$60K - $80K","Blue",45,6,2,0,2283,1430,853,2.316,1741,27,0.588,0.626
816513108,"Existing Customer",54,"M",4,"Graduate","Married","$60K - $80K","Blue",49,3,1,2,5269,1099,4170,1.178,2195,63,0.969,0.209
717380133,"Existing Customer",65,"M",0,"High School","Single","$40K - $60K","Blue",36,6,4,1,3305,1909,1396,0.371,4218,72,0.636,0.578
799707858,"Existing Customer",50,"F",1,"High School","Married","Less than $40K","Blue",42,6,1,2,7115,2000,5115,0.769,3584,57,0.966,0.281
789398733,"Existing Customer",56,"M",3,"Graduate","Married","$120K +","Blue",46,3,3,2,5270,779,4491,0.731,16179,105,0.694,0.148
714778833,"Existing Customer",49,"F",3,"College","Single","Unknown","Blue",43,4,4,0,23032,1960,21072,0.619,1289,22,1,0.085
717940008,"Existing Customer",57,"F",2,"Unknown","Divorced","$40K - $60K","Blue",36,5,2,2,3251,1887,1364,1.007,3228,67,0.763,0.58
716851908,"Existing Customer",58,"F",5,"Unknown","Married","$40K - $60K","Blue",47,1,3,3,2038,1099,939,0.809,4784,70,0.75,0.539
787655058,"Existing Customer",44,"F",2,"Uneducated","Single","Less than $40K","Blue",37,5,2,3,2568,1875,693,0.578,4254,85,0.735,0.73
708727983,"Existing Customer",62,"M",0,"Uneducated","Single","$60K - $80K","Blue",36,6,1,3,3933,0,3933,0.884,3048,54,0.688,0
769720683,"Existing Customer",50,"F",1,"Graduate","Married","Unknown","Blue",44,5,2,2,5708,1884,3824,0.791,4914,60,0.765,0.33
711957708,"Existing Customer",38,"F",2,"Graduate","Married","Less than $40K","Blue",36,6,3,4,2717,1591,1126,1.596,2064,33,1.062,0.586
789611283,"Existing Customer",44,"M",4,"Graduate","Married","$40K - $60K","Blue",38,5,2,3,5452,2091,3361,0.813,1347,30,0.5,0.384
780612558,"Existing Customer",58,"F",1,"Graduate","Single","$40K - $60K","Blue",46,3,3,3,1996,1850,146,0.952,3421,55,0.719,0.927
710838108,"Existing Customer",45,"M",2,"Graduate","Married","$80K - $120K","Blue",36,1,4,1,3081,2517,564,0.572,4317,72,0.714,0.817
710492733,"Existing Customer",29,"M",0,"Post-Graduate","Single","$40K - $60K","Blue",19,4,1,2,13632,1482,12150,0.893,2168,42,2.5,0.109
719703483,"Existing Customer",47,"F",1,"Doctorate","Divorced","Less than $40K","Blue",37,6,3,3,2707,1367,1340,0.794,4646,73,0.78,0.505
788820933,"Existing Customer",59,"M",2,"Graduate","Single","$60K - $80K","Blue",42,3,2,2,16727,1380,15347,0.605,3511,73,0.622,0.083
715628733,"Existing Customer",40,"F",4,"Unknown","Single","Less than $40K","Blue",36,6,3,4,7587,0,7587,0.82,3157,59,0.844,0
708119658,"Existing Customer",49,"F",4,"Graduate","Married","$40K - $60K","Blue",38,4,2,1,12836,1034,11802,0.663,2519,53,0.472,0.081
720511608,"Existing Customer",38,"F",0,"Graduate","Married","Unknown","Blue",28,5,3,3,16049,799,15250,0.777,1989,33,0.571,0.05
788923758,"Existing Customer",26,"F",1,"High School","Unknown","Unknown","Blue",13,3,1,3,10693,2517,8176,0.88,4138,76,0.727,0.235
708829758,"Existing Customer",41,"M",2,"High School","Married","$60K - $80K","Blue",36,4,3,2,6062,761,5301,0.307,3877,66,0.375,0.126
785134758,"Existing Customer",41,"M",2,"College","Unknown","$80K - $120K","Blue",24,3,2,4,14320,0,14320,0.754,4077,77,0.791,0
712936908,"Existing Customer",36,"M",3,"Unknown","Single","$60K - $80K","Blue",36,3,1,1,11684,1786,9898,0.806,2969,88,0.796,0.153
710003958,"Existing Customer",48,"F",5,"Post-Graduate","Married","Less than $40K","Blue",40,3,3,3,1438.3,665,773.3,0.75,4100,84,0.615,0.462
710300733,"Existing Customer",38,"M",3,"High School","Single","$120K +","Blue",27,2,4,1,34516,0,34516,0.919,13781,106,0.797,0
718164858,"Existing Customer",42,"F",4,"Post-Graduate","Married","Less than $40K","Blue",34,5,3,2,2021,1281,740,0.847,4642,97,0.672,0.634
719904333,"Existing Customer",29,"M",0,"Graduate","Married","$40K - $60K","Blue",36,3,3,4,1459,590,869,1.164,2229,52,1.08,0.404
798788958,"Existing Customer",32,"M",1,"High School","Single","$80K - $120K","Blue",26,2,3,2,6407,1130,5277,0.756,14471,93,0.603,0.176
708231183,"Existing Customer",30,"M",1,"Uneducated","Divorced","Unknown","Blue",22,5,3,4,12539,910,11629,0.856,2643,72,0.674,0.073
713339283,"Existing Customer",54,"M",3,"Unknown","Married","$60K - $80K","Blue",39,4,3,4,6348,798,5550,1.042,4135,71,0.972,0.126
788876208,"Existing Customer",42,"F",2,"Graduate","Single","Less than $40K","Blue",27,5,3,3,2265,0,2265,0.603,3826,71,0.543,0
719926683,"Existing Customer",41,"M",3,"High School","Divorced","$60K - $80K","Blue",33,2,2,2,20749,2171,18578,0.842,4754,77,0.674,0.105
717011958,"Existing Customer",43,"F",4,"Graduate","Single","$40K - $60K","Blue",23,2,1,1,1438.3,0,1438.3,0.728,4494,82,0.708,0
819628158,"Existing Customer",42,"M",3,"Graduate","Single","$60K - $80K","Blue",37,2,3,1,17887,1821,16066,0.687,14544,116,1.148,0.102
717299958,"Existing Customer",49,"M",3,"Graduate","Single","$80K - $120K","Blue",45,3,2,0,2453,1534,919,0.785,4185,66,0.784,0.625
718949433,"Existing Customer",42,"F",3,"College","Single","Unknown","Silver",31,3,2,2,34516,919,33597,0.919,3415,79,0.756,0.027
710416533,"Existing Customer",58,"F",3,"Unknown","Single","$40K - $60K","Blue",52,4,1,1,1454,888,566,1.19,3060,56,0.647,0.611
773466258,"Existing Customer",48,"F",4,"High School","Married","$40K - $60K","Blue",42,3,1,3,4206,1100,3106,0.587,1144,22,1,0.262
712827258,"Existing Customer",37,"M",3,"Uneducated","Married","$40K - $60K","Blue",25,5,0,3,1438.3,0,1438.3,1.023,5046,77,0.925,0
712187808,"Existing Customer",27,"M",0,"Uneducated","Married","$40K - $60K","Blue",15,4,3,4,3682,0,3682,0.685,1826,35,0.75,0
791839233,"Existing Customer",42,"F",4,"Unknown","Divorced","Unknown","Blue",36,5,3,2,17536,1525,16011,0.859,1411,28,0.474,0.087
720746208,"Existing Customer",52,"M",1,"Graduate","Married","$80K - $120K","Blue",43,6,1,1,2689,2077,612,0.378,1356,33,0.435,0.772
711227883,"Existing Customer",41,"F",2,"Graduate","Single","Less than $40K","Blue",21,2,3,3,3624,1641,1983,0.833,15824,121,0.779,0.453
749067633,"Existing Customer",45,"F",2,"Unknown","Married","Less than $40K","Blue",38,3,2,3,3682,0,3682,0.797,4015,77,0.51,0
715708308,"Existing Customer",54,"F",3,"Doctorate","Married","$40K - $60K","Blue",39,3,1,3,2112,1594,518,1.204,1338,29,2.222,0.755
716612958,"Existing Customer",35,"F",2,"College","Married","$40K - $60K","Blue",29,6,1,3,10980,1726,9254,0.856,1830,36,0.636,0.157
716075208,"Existing Customer",32,"F",3,"High School","Married","Less than $40K","Blue",22,4,2,4,4561,2029,2532,0.768,1874,38,0.52,0.445
708772308,"Existing Customer",41,"M",3,"Uneducated","Married","$80K - $120K","Blue",24,4,3,3,4119,1656,2463,0.561,1455,35,0.667,0.402
788723133,"Existing Customer",36,"M",1,"High School","Single","$40K - $60K","Blue",20,5,1,2,12714,976,11738,0.649,2240,53,0.395,0.077
709871658,"Existing Customer",47,"F",1,"Unknown","Single","Less than $40K","Blue",36,2,3,3,7136,2345,4791,0.699,7729,86,0.654,0.329
721268133,"Existing Customer",44,"M",3,"Post-Graduate","Married","$40K - $60K","Blue",36,5,2,2,11366,2109,9257,0.993,3495,70,0.795,0.186
752573508,"Existing Customer",45,"F",3,"High School","Single","$40K - $60K","Blue",26,3,2,4,4034,1867,2167,0.656,3718,72,0.756,0.463
715363908,"Existing Customer",44,"F",4,"Uneducated","Married","Less than $40K","Blue",26,4,1,2,4726,1551,3175,0.544,3658,70,0.628,0.328
720662508,"Existing Customer",39,"M",1,"Graduate","Married","$120K +","Blue",25,6,3,2,5764,1529,4235,1.356,1972,38,0.52,0.265
714741933,"Existing Customer",42,"M",4,"Unknown","Married","$60K - $80K","Blue",32,1,1,2,9906,1759,8147,0.785,4033,76,1,0.178
712443558,"Existing Customer",39,"F",1,"College","Single","Unknown","Blue",36,6,1,1,22125,0,22125,0.645,1994,57,0.727,0
780040758,"Existing Customer",40,"F",4,"College","Married","$40K - $60K","Blue",24,5,3,2,2606,1818,788,0.703,1999,50,1.174,0.698
771354633,"Existing Customer",58,"M",1,"College","Single","$80K - $120K","Blue",45,5,3,4,1854,1480,374,0.853,3292,73,0.921,0.798
715851333,"Existing Customer",42,"M",4,"High School","Married","$60K - $80K","Blue",27,2,3,2,13804,1903,11901,0.723,7376,97,0.54,0.138
711047658,"Existing Customer",46,"F",3,"High School","Married","Less than $40K","Blue",38,4,2,2,1781,1315,466,0.704,4775,83,0.729,0.738
708511983,"Existing Customer",37,"M",3,"Graduate","Married","$80K - $120K","Blue",18,5,3,2,1663,0,1663,0.778,3950,82,0.864,0
819160158,"Existing Customer",42,"M",3,"Uneducated","Married","$40K - $60K","Blue",37,2,3,3,4960,1724,3236,0.879,8218,88,0.913,0.348
716748483,"Existing Customer",59,"F",1,"Uneducated","Married","$40K - $60K","Blue",36,2,2,3,3720,1569,2151,0.891,16208,129,0.792,0.422
716371308,"Existing Customer",40,"M",2,"Unknown","Single","$40K - $60K","Blue",36,6,6,1,4947,0,4947,0.751,4497,84,0.826,0
753327333,"Existing Customer",41,"M",3,"Unknown","Married","$80K - $120K","Blue",34,4,4,1,13535,1291,12244,0.653,1028,21,1.625,0.095
818763033,"Existing Customer",34,"F",3,"Graduate","Married","$40K - $60K","Blue",29,6,1,1,6169,2517,3652,1.117,4794,71,0.69,0.408
718756533,"Existing Customer",47,"M",2,"Uneducated","Married","$80K - $120K","Blue",41,1,2,1,13356,1497,11859,0.753,8963,105,0.694,0.112
717343833,"Existing Customer",47,"F",5,"Uneducated","Unknown","Unknown","Blue",34,4,1,3,3127,2094,1033,0.709,4518,86,0.83,0.67
793456983,"Existing Customer",43,"M",0,"Post-Graduate","Single","$40K - $60K","Blue",37,1,2,3,7872,989,6883,0.809,13746,104,0.733,0.126
712364283,"Existing Customer",54,"F",2,"Doctorate","Married","$40K - $60K","Blue",43,5,3,2,2222,1398,824,0.785,3960,79,0.756,0.629
797234508,"Existing Customer",51,"M",3,"Unknown","Single","$60K - $80K","Silver",45,3,2,4,30899,0,30899,0.502,1481,20,0.333,0
772758783,"Existing Customer",43,"M",1,"Unknown","Married","$80K - $120K","Blue",33,5,1,5,21165,735,20430,0.624,3343,60,0.667,0.035
819002508,"Existing Customer",31,"M",1,"Unknown","Single","$40K - $60K","Blue",26,4,1,2,2037,0,2037,0.88,2563,64,0.641,0
708123033,"Existing Customer",41,"F",3,"Graduate","Single","Less than $40K","Silver",30,2,1,1,11463,0,11463,0.908,14511,105,0.721,0
712071708,"Existing Customer",63,"F",0,"Graduate","Married","Less than $40K","Blue",36,6,3,4,2107,1351,756,0.521,1320,35,0.522,0.641
708931908,"Existing Customer",48,"M",3,"High School","Single","$40K - $60K","Blue",36,3,2,3,7400,636,6764,0.972,1568,51,0.5,0.086
716948283,"Existing Customer",58,"M",1,"College","Single","$80K - $120K","Blue",49,3,3,2,9890,0,9890,0.653,3497,69,0.683,0
789076083,"Existing Customer",50,"F",3,"High School","Single","Less than $40K","Blue",38,6,3,2,2775,1475,1300,0.854,4608,84,0.647,0.532
819612933,"Existing Customer",52,"M",3,"Graduate","Single","$80K - $120K","Blue",47,1,3,3,25410,0,25410,0.559,5472,70,0.591,0
718189908,"Existing Customer",44,"F",4,"Unknown","Unknown","$40K - $60K","Gold",31,2,2,3,23981,2135,21846,0.749,7885,86,0.564,0.089
710453283,"Existing Customer",40,"F",3,"Uneducated","Single","Less than $40K","Blue",27,5,4,2,2035,0,2035,0.779,4107,82,0.783,0
715442958,"Existing Customer",54,"M",2,"Uneducated","Married","$60K - $80K","Blue",36,3,3,3,11067,2517,8550,1.048,1843,38,1.235,0.227
717730533,"Existing Customer",32,"M",0,"Graduate","Single","$40K - $60K","Blue",21,6,1,3,1614,925,689,0.598,2659,63,0.75,0.573
778444908,"Existing Customer",57,"M",2,"Graduate","Married","$120K +","Silver",39,4,2,3,34516,1444,33072,0.568,16392,116,0.657,0.042
807600633,"Existing Customer",44,"F",2,"Doctorate","Divorced","Unknown","Blue",39,6,4,1,9856,671,9185,0.662,5408,83,0.729,0.068
718246458,"Existing Customer",53,"M",3,"Graduate","Single","$80K - $120K","Blue",45,2,1,2,24262,1984,22278,0.805,8241,105,0.75,0.082
714169908,"Existing Customer",53,"F",0,"Graduate","Single","Less than $40K","Blue",34,5,2,1,1944,1140,804,0.582,4921,82,0.907,0.586
719413383,"Existing Customer",32,"M",1,"Uneducated","Single","$60K - $80K","Silver",36,2,3,1,33711,1437,32274,0.942,14880,134,0.654,0.043
715174983,"Existing Customer",40,"M",3,"Graduate","Married","$60K - $80K","Blue",36,4,4,4,2223,597,1626,0.572,3331,67,0.675,0.269
820075983,"Existing Customer",26,"M",0,"Graduate","Single","Less than $40K","Blue",21,4,3,2,1585,1535,50,0.462,2299,49,0.485,0.968
710461083,"Existing Customer",56,"F",2,"Graduate","Single","Less than $40K","Blue",46,4,1,3,1438.3,0,1438.3,0.622,4333,84,0.826,0
710775483,"Existing Customer",53,"M",1,"High School","Unknown","$40K - $60K","Blue",43,2,1,3,9060,0,9060,0.775,14305,102,0.645,0
779833908,"Existing Customer",40,"F",2,"Graduate","Divorced","Unknown","Blue",23,6,2,1,18332,1376,16956,0.6,4095,67,0.675,0.075
779331558,"Existing Customer",45,"F",2,"Unknown","Single","Less than $40K","Blue",27,6,3,3,1438.3,0,1438.3,0.683,2598,59,0.595,0
708699108,"Existing Customer",39,"F",2,"High School","Single","Less than $40K","Blue",36,4,3,3,1438.3,855,583.3,0.662,4890,53,0.893,0.594
717182883,"Existing Customer",33,"F",1,"High School","Married","Unknown","Blue",36,3,2,2,2279,1432,847,0.855,4169,74,0.947,0.628
716077458,"Existing Customer",46,"M",3,"Uneducated","Married","$40K - $60K","Blue",36,4,2,4,4707,1121,3586,0.604,3188,71,0.651,0.238
779709033,"Existing Customer",46,"M",4,"Unknown","Married","$60K - $80K","Blue",29,6,3,2,5735,2410,3325,0.616,3908,75,0.63,0.42
795613233,"Existing Customer",48,"F",2,"Graduate","Married","Unknown","Blue",42,4,2,0,10514,1494,9020,0.649,4949,76,0.81,0.142
778399008,"Existing Customer",50,"M",0,"High School","Married","$80K - $120K","Blue",30,3,4,2,4252,0,4252,0.478,1598,45,0.324,0
719042208,"Existing Customer",43,"M",4,"Doctorate","Unknown","$60K - $80K","Blue",33,4,3,4,2067,1250,817,0.891,4565,65,0.806,0.605
771490833,"Existing Customer",52,"M",1,"College","Single","$80K - $120K","Blue",40,5,1,1,4745,1227,3518,0.624,1140,40,0.6,0.259
808909008,"Existing Customer",61,"M",0,"Post-Graduate","Married","Less than $40K","Blue",56,6,3,4,1438.3,0,1438.3,0.589,1448,31,0.292,0
720734583,"Existing Customer",44,"F",2,"Post-Graduate","Married","Less than $40K","Blue",32,1,3,3,2540,1561,979,0.894,5039,82,0.745,0.615
713121408,"Existing Customer",38,"M",3,"College","Married","$80K - $120K","Blue",30,5,3,2,3976,1667,2309,0.929,4372,69,0.683,0.419
713182458,"Existing Customer",53,"M",4,"High School","Married","$80K - $120K","Blue",43,3,1,2,16692,2446,14246,0.853,1288,29,0.45,0.147
779611008,"Existing Customer",29,"M",0,"Graduate","Married","$40K - $60K","Blue",18,4,3,4,4532,0,4532,0.734,1885,55,0.528,0
772323033,"Existing Customer",44,"F",4,"Graduate","Single","Less than $40K","Blue",33,3,2,2,4606,1556,3050,0.676,4363,78,0.66,0.338
718349058,"Existing Customer",49,"M",3,"High School","Married","$80K - $120K","Blue",39,3,3,2,29659,1143,28516,0.512,1193,21,0.615,0.039
708394908,"Existing Customer",44,"M",0,"High School","Single","$40K - $60K","Blue",33,5,1,3,2337,1442,895,0.659,3945,65,0.548,0.617
821815458,"Existing Customer",48,"M",3,"High School","Single","$60K - $80K","Blue",44,5,1,1,19272,1519,17753,0.557,3398,67,0.763,0.079
771903033,"Existing Customer",36,"F",1,"Graduate","Married","Less than $40K","Blue",25,5,1,2,2999,1247,1752,0.962,2017,40,0.6,0.416
715311183,"Existing Customer",35,"M",2,"Post-Graduate","Single","$60K - $80K","Blue",24,2,3,1,3388,1659,1729,0.842,13557,100,0.724,0.49
720424608,"Existing Customer",56,"F",1,"Unknown","Married","Unknown","Blue",36,6,3,2,24073,1084,22989,0.847,1341,37,1.176,0.045
717708783,"Existing Customer",57,"M",2,"Graduate","Single","$120K +","Silver",51,6,3,4,34516,1417,33099,0.966,4303,77,0.638,0.041
718350033,"Existing Customer",50,"M",3,"College","Single","$40K - $60K","Blue",36,3,2,2,3069,1881,1188,1.111,2909,58,1.522,0.613
711840408,"Existing Customer",64,"M",0,"College","Married","Less than $40K","Blue",55,5,3,4,2492,1424,1068,0.485,1375,30,0.364,0.571
770800683,"Existing Customer",48,"F",3,"Post-Graduate","Married","Less than $40K","Blue",35,3,3,3,2640,2133,507,1.008,4956,72,0.846,0.808
721462458,"Existing Customer",52,"F",3,"High School","Married","Unknown","Blue",42,3,2,1,23858,1179,22679,0.671,3784,69,0.683,0.049
788755158,"Existing Customer",49,"M",3,"High School","Married","$60K - $80K","Blue",29,4,3,1,1438.3,535,903.3,0.678,3016,80,0.739,0.372
810856833,"Existing Customer",45,"M",4,"College","Unknown","$120K +","Blue",40,3,2,2,11962,1025,10937,0.694,1907,52,0.926,0.086
789368658,"Existing Customer",57,"M",2,"Graduate","Married","$80K - $120K","Blue",47,6,2,3,2092,1387,705,0.731,1468,30,0.304,0.663
712765158,"Existing Customer",26,"F",1,"High School","Single","Less than $40K","Blue",15,5,3,3,2539,2162,377,0.635,2386,47,0.382,0.852
719506983,"Existing Customer",52,"M",3,"Graduate","Married","$80K - $120K","Blue",42,5,2,4,17302,1339,15963,0.631,1181,30,1,0.077
720003558,"Existing Customer",43,"F",1,"Graduate","Unknown","Less than $40K","Blue",32,4,4,3,1834,1416,418,0.868,5653,79,0.927,0.772
798773208,"Existing Customer",46,"F",4,"Unknown","Divorced","Unknown","Blue",40,5,2,3,26496,1406,25090,0.96,3691,75,0.705,0.053
778740708,"Existing Customer",39,"F",3,"Graduate","Married","Less than $40K","Blue",27,3,3,2,1902,962,940,0.534,4203,69,0.725,0.506
779551533,"Existing Customer",54,"F",3,"Doctorate","Single","Less than $40K","Blue",39,4,3,3,1764,0,1764,0.651,4857,92,0.804,0
711766758,"Existing Customer",42,"F",4,"Unknown","Married","Less than $40K","Blue",30,3,2,1,1531,987,544,0.831,4373,67,0.811,0.645
810586833,"Existing Customer",38,"F",3,"Graduate","Divorced","Unknown","Blue",33,6,2,3,29638,857,28781,0.481,3429,78,0.696,0.029
813890883,"Existing Customer",44,"F",1,"Uneducated","Unknown","Less than $40K","Blue",39,4,2,1,1555,0,1555,0.583,3811,65,0.711,0
716981358,"Existing Customer",40,"F",2,"Post-Graduate","Married","Less than $40K","Blue",32,3,3,0,2107,941,1166,0.975,4858,73,0.738,0.447
720437358,"Existing Customer",40,"M",3,"Graduate","Single","$40K - $60K","Blue",32,5,1,2,2526,2303,223,0.836,3596,69,0.568,0.912
771518658,"Existing Customer",58,"F",1,"High School","Married","$40K - $60K","Blue",46,5,3,1,1871,1339,532,0.79,4553,90,0.731,0.716
806995683,"Existing Customer",61,"M",0,"Doctorate","Single","$60K - $80K","Blue",56,4,1,3,4783,2517,2266,1.024,2870,50,1.174,0.526
